"code","description","subcategory","commoncat","icd10subcategory","MatchStage","manual_icd10"
"510","empyema","other diseases of respiratory system","diseases of the respiratory system","other diseases of the respiratory system","fuzzy by subcategory",NA
"511","pleurisy","other diseases of respiratory system","diseases of the respiratory system","other diseases of the respiratory system","fuzzy by subcategory",NA
"512","pneumothorax","other diseases of respiratory system","diseases of the respiratory system","other diseases of the respiratory system","fuzzy by subcategory",NA
"513","abscess of lung and mediastinum","other diseases of respiratory system","diseases of the respiratory system","other diseases of the respiratory system","fuzzy by subcategory",NA
"514","pulmonary congestion and hypostasis","other diseases of respiratory system","diseases of the respiratory system","other diseases of the respiratory system","fuzzy by subcategory",NA
"515","postinflammatory pulmonary fibrosis","other diseases of respiratory system","diseases of the respiratory system","other diseases of the respiratory system","fuzzy by subcategory",NA
"516","other alveolar and parietoalveolar pneumopathy","other diseases of respiratory system","diseases of the respiratory system","other diseases of the respiratory system","fuzzy by subcategory",NA
"517","lung involvement in conditions classified elsewhere","other diseases of respiratory system","diseases of the respiratory system","other diseases of the respiratory system","fuzzy by subcategory",NA
"518","other diseases of lung","other diseases of respiratory system","diseases of the respiratory system","other diseases of the respiratory system","fuzzy by subcategory",NA
"519","other diseases of respiratory system","other diseases of respiratory system","diseases of the respiratory system","other diseases of the respiratory system","fuzzy by subcategory",NA
"520","disorders of tooth development and eruption","diseases of oral cavity, salivary glands and jaws","diseases of the digestive system","diseases of oral cavity and salivary glands","fuzzy by subcategory",NA
"521","diseases of hard tissues of teeth","diseases of oral cavity, salivary glands and jaws","diseases of the digestive system","diseases of oral cavity and salivary glands","fuzzy by subcategory",NA
"522","diseases of pulp and periapical tissues","diseases of oral cavity, salivary glands and jaws","diseases of the digestive system","diseases of oral cavity and salivary glands","fuzzy by subcategory",NA
"523","gingival and periodontal diseases","diseases of oral cavity, salivary glands and jaws","diseases of the digestive system","diseases of oral cavity and salivary glands","fuzzy by subcategory",NA
"524","dentofacial anomalies, including malocclusion","diseases of oral cavity, salivary glands and jaws","diseases of the digestive system","diseases of oral cavity and salivary glands","fuzzy by subcategory",NA
"525","other diseases and conditions of the teeth and supporting structures","diseases of oral cavity, salivary glands and jaws","diseases of the digestive system","diseases of oral cavity and salivary glands","fuzzy by subcategory",NA
"526","diseases of the jaws","diseases of oral cavity, salivary glands and jaws","diseases of the digestive system","diseases of oral cavity and salivary glands","fuzzy by subcategory",NA
"527","diseases of the salivary glands","diseases of oral cavity, salivary glands and jaws","diseases of the digestive system","diseases of oral cavity and salivary glands","fuzzy by subcategory",NA
"528","diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue","diseases of oral cavity, salivary glands and jaws","diseases of the digestive system","diseases of oral cavity and salivary glands","fuzzy by subcategory",NA
"529","diseases and other conditions of the tongue","diseases of oral cavity, salivary glands and jaws","diseases of the digestive system","diseases of oral cavity and salivary glands","fuzzy by subcategory",NA
"530","diseases of oesophagus","disease of oesophagus, stomach and duodenum","diseases of the digestive system","diseases of esophagus, stomach and duodenum","fuzzy by subcategory",NA
"531","gastric ulcer","disease of oesophagus, stomach and duodenum","diseases of the digestive system","diseases of esophagus, stomach and duodenum","fuzzy by subcategory",NA
"532","duodenal ulcer","disease of oesophagus, stomach and duodenum","diseases of the digestive system","diseases of esophagus, stomach and duodenum","fuzzy by subcategory",NA
"533","peptic ulcer, site unspecified","disease of oesophagus, stomach and duodenum","diseases of the digestive system","diseases of esophagus, stomach and duodenum","fuzzy by subcategory",NA
"534","gastrojejunal ulcer","disease of oesophagus, stomach and duodenum","diseases of the digestive system","diseases of esophagus, stomach and duodenum","fuzzy by subcategory",NA
"535","gastritis and duodenitis","disease of oesophagus, stomach and duodenum","diseases of the digestive system","diseases of esophagus, stomach and duodenum","fuzzy by subcategory",NA
"536","disorders of function of stomach","disease of oesophagus, stomach and duodenum","diseases of the digestive system","diseases of esophagus, stomach and duodenum","fuzzy by subcategory",NA
"537","other disorders of stomach and duodenum","disease of oesophagus, stomach and duodenum","diseases of the digestive system","diseases of esophagus, stomach and duodenum","fuzzy by subcategory",NA
"540","acute appendicitis","appendicitis","diseases of the digestive system","Diseases of appendix","manual by category",NA
"541","appendicitis, unqualified","appendicitis","diseases of the digestive system","Diseases of appendix","manual by category",NA
"542","other appendicitis","appendicitis","diseases of the digestive system","Diseases of appendix","manual by category",NA
"543","other diseases of appendix","appendicitis","diseases of the digestive system","Diseases of appendix","manual by category",NA
"550","inguinal hernia","hernia of abdominal cavity","diseases of the digestive system","Hernia","manual by category",NA
